Sort_ID, indnr, code, desc
1, Agg, TOT, "TOTAL ECONOMY (A-U)"
2, *Agg, TOT_IND, "TOTAL INDUSTRIES (A-S)"
3, *Agg, MARKT, "MARKET ECONOMY (all industries excluding L, O, P, Q, T, and U)"
4, 1, A, "Agriculture, forestry and fishing"
5, 2, B, "Mining and quarrying"
6, Agg, C, "TOTAL MANUFACTURING"
7, 3, C10-C12, "…Food products, beverages and tobacco"
8, 4, C13-C15, "…Textiles, wearing apparel, leather and related products"
9, 5, C16-C18, "…Wood and paper products; printing and reproduction of recorded media"
10, 6, C19, "…Coke and refined petroleum products"
11, 7, C20, "…Chemicals and chemical products"
12, 8, C21, "…Basic pharmaceutical products and pharmaceutical preparations"
13, 9, C22_C23, "…Rubber and plastics products, and other non-metallic mineral products"
14, 10, C24_C25, "…Basic metals and fabricated metal products, except machinery and equipment"
15, 11, C26, "…Computer, electronic and optical products"
16, 12, C27, "…Electrical equipment"
17, 13, C28, "…Machinery and equipment n.e.c."
18, 14, C29_C30, "…Transport equipment"
19, 15, C31-C33, "…Other manufacturing; repair and installation of machinery and equipment"
20, 16, D, "…Electricity, gas, steam and air conditioning supply"
21, 17, E, "…Water supply; sewerage; waste management and remediation activities"
22, 18, F, "Construction"
23, Agg, G, "WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES"
24, 19, G45, "…Wholesale and retail trade and repair of motor vehicles and motorcycles"
25, 20, G46, "…Wholesale trade, except of motor vehicles and motorcycles"
26, 21, G47, "…Retail trade, except of motor vehicles and motorcycles"
27, Agg, H, "TRANSPORTATION AND STORAGE"
28, 22, H49, "…Land transport and transport via pipelines"
29, 23, H50, "…Water transport"
30, 24, H51, "…Air transport"
31, 25, H52, "…Warehousing and support activities for transportation"
32, 26, H53, "…Postal and courier activities"
33, 27, I, "Accommodation and food service activities"
34, Agg, J, "INFORMATION AND COMMUNICATION"
35, 28, J58-J60, "…Publishing, audio-visual and broadcasting activities"
36, 29, J61, "…Telecommunications"
37, 30, J62_J63, "…IT and other information services"
38, 31, K, "Financial and insurance activities"
39, 32, L, "Real estate activities"
40, 33, M-N, "Professional, scientific, technical, administrative and support service activities"
41, Agg, O-Q, "PUBLIC ADMINISTRATION, DEFENCE, EDUCATION, HUMAN HEALTH AND SOCIAL WORK ACTIVITIES"
42, 34, O, "Public administration and defence; compulsory social security"
43, 35, P, "Education"
44, 36, Q, "Health and social work"
45, *Agg, R-S, "ARTS, ENTERTAINMENT, RECREATION; OTHER SERVICES AND SERVICE ACTIVITIES, etc."
46, 37, R, "Arts, entertainment and recreation"
47, 38, S, "Other service activities"
48, 39, T, "Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use"
49, 40, U, "Activities of extraterritorial organizations and bodies"
991, *Agg, C20_C21, "…Chemicals; basic pharmaceutical products"
992, *Agg, C26_C27, "…Computer, electronic, optical products; electrical equipment"
993, *Agg, D_E, "Electricity, gas, steam; water supply, sewerage, waste management"