var, type, desc
I_AdvMRes, GFCF.current.prices, "Advertising, market research and branding"
I_Design, GFCF.current.prices, "Design and other product developments"
I_POCap, GFCF.current.prices, "Purchased organisational capital"
I_VT, GFCF.current.prices, "Vocational training"
I_OOCap, GFCF.current.prices, "Own-account organisational capital"
Ipyp_AdvMRes, GFCF.prev.year.prices, "Advertising, market research and branding"
Ipyp_Design, GFCF.prev.year.prices, "Design and other product developments"
Ipyp_POCap, GFCF.prev.year.prices, "Purchased organisational capital"
Ipyp_VT, GFCF.prev.year.prices, "Vocational training"
Ipyp_OOCap, GFCF.prev.year.prices, "Own-account organisational capital"
Iq_AdvMRes, GFCF.volume.2010.ref.prices, "Advertising, market research and branding"
Iq_Design, GFCF.volume.2010.ref.prices, "Design and other product developments"
Iq_POCap, GFCF.volume.2010.ref.prices, "Purchased organisational capital"
Iq_VT, GFCF.volume.2010.ref.prices, "Vocational training"
Iq_OOCap, GFCF.volume.2010.ref.prices, "Own-account organisational capital"
Ip_AdvMRes, GFCF.price.indices.2010=100, "Advertising, market research and branding"
Ip_Design, GFCF.price.indices.2010=100, "Design and other product developments"
Ip_POCap, GFCF.price.indices.2010=100, "Purchased organisational capital"
Ip_VT, GFCF.price.indices.2010=100, "Vocational training"
Ip_OOCap, GFCF.price.indices.2010=100, "Own-account organisational capital"
K_AdvMRes, Capital.stock net.curr.replac.costs, "Advertising, market research and branding"
K_Design, Capital.stock net.curr.replac.costs, "Design and other product developments"
K_POCap, Capital.stock net.curr.replac.costs, "Purchased organisational capital"
K_VT, Capital.stock net.curr.replac.costs, "Vocational training"
K_OOCap, Capital.stock net.curr.replac.costs, "Own-account organisational capital"
Kpyp_AdvMRes, Capital.stock.net.prev.year.replac.costs, "Advertising, market research and branding"
Kpyp_Design, Capital.stock.net.prev.year.replac.costs, "Design and other product developments"
Kpyp_POCap, Capital.stock.net.prev.year.replac.costs, "Purchased organisational capital"
Kpyp_VT, Capital.stock.net.prev.year.replac.costs, "Vocational training"
Kpyp_OOCap, Capital.stock.net.prev.year.replac.costs, "Own-account organisational capital"
Kq_AdvMRes, Capital.stock.net.volume.2010.ref.prices, "Advertising, market research and branding"
Kq_Design, Capital.stock.net.volume.2010.ref.prices, "Design and other product developments"
Kq_POCap, Capital.stock.net.volume.2010.ref.prices, "Purchased organisational capital"
Kq_VT, Capital.stock.net.volume.2010.ref.prices, "Vocational training"
Kq_OOCap, Capital.stock.net.volume.2010.ref.prices, "Own-account organisational capital"