variable, type, desc
K_IT, Capital.stock.net.curr.replac.costs, "Computing equipment"
K_CT, Capital.stock.net.curr.replac.costs, "Communications equipment"
K_Soft_DB, Capital.stock.net.curr.replac.costs, "Computer software and databases"
K_TraEq, Capital.stock.net.curr.replac.costs, "Transport Equipment"
K_OMach, Capital.stock.net.curr.replac.costs, "Other Machinery and Equipment"
K_OCon, Capital.stock.net.curr.replac.costs, "Total Non-residential investment"
K_RStruc, Capital.stock.net.curr.replac.costs, "Residential structures"
K_Cult, Capital.stock.net.curr.replac.costs, "Cultivated assets"
K_RD, Capital.stock.net.curr.replac.costs, "Research and development"
K_OIPP, Capital.stock.net.curr.replac.costs, "Other IPP assets"
K_GFCF, Capital.stock.net.curr.replac.costs, "All assets"
Kpyp_IT, Capital.stock.net.prev.year.replac.costs, "Computing equipment"
Kpyp_CT, Capital.stock.net.prev.year.replac.costs, "Communications equipment"
Kpyp_Soft_DB, Capital.stock.net.prev.year.replac.costs, "Computer software and databases"
Kpyp_TraEq, Capital.stock.net.prev.year.replac.costs, "Transport Equipment"
Kpyp_OMach, Capital.stock.net.prev.year.replac.costs, "Other Machinery and Equipment"
Kpyp_OCon, Capital.stock.net.prev.year.replac.costs, "Total Non-residential investment"
Kpyp_RStruc, Capital.stock.net.prev.year.replac.costs, "Residential structures"
Kpyp_Cult, Capital.stock.net.prev.year.replac.costs, "Cultivated assets"
Kpyp_RD, Capital.stock.net.prev.year.replac.costs, "Research and development"
Kpyp_OIPP, Capital.stock.net.prev.year.replac.costs, "Other IPP assets"
Kpyp_GFCF, Capital.stock.net.prev.year.replac.costs, "All assets"
Kq_IT, Capital.stock.net.volume.2010.ref.prices, "Computing equipment"
Kq_CT, Capital.stock.net.volume.2010.ref.prices, "Communications equipment"
Kq_Soft_DB, Capital.stock.net.volume.2010.ref.prices, "Computer software and databases"
Kq_TraEq, Capital.stock.net.volume.2010.ref.prices, "Transport Equipment"
Kq_OMach, Capital.stock.net.volume.2010.ref.prices, "Other Machinery and Equipment"
Kq_OCon, Capital.stock.net.volume.2010.ref.prices, "Total Non-residential investment"
Kq_RStruc, Capital.stock.net.volume.2010.ref.prices, "Residential structures"
Kq_Cult, Capital.stock.net.volume.2010.ref.prices, "Cultivated assets"
Kq_RD, Capital.stock.net.volume.2010.ref.prices, "Research and development"
Kq_OIPP, Capital.stock.net.volume.2010.ref.prices, "Other IPP assets"
Kq_GFCF, Capital.stock.net.volume.2010.ref.prices, "All assets"
I_IT, GFCF.current prices, "Computing equipment"
I_CT, GFCF.current prices, "Communications equipment"
I_Soft_DB, GFCF.current prices, "Computer software and databases"
I_TraEq, GFCF.current prices, "Transport Equipment"
I_OMach, GFCF.current prices, "Other Machinery and Equipment"
I_OCon, GFCF.current prices, "Total Non-residential investment"
I_RStruc, GFCF.current prices, "Residential structures"
I_Cult, GFCF.current prices, "Cultivated assets"
I_RD, GFCF.current prices, "Research and development"
I_OIPP, GFCF.current prices, "Other IPP assets"
I_GFCF, GFCF.current prices, "All assets"
Ipyp_IT, GFCF.prev.year.prices, "Computing equipment"
Ipyp_CT, GFCF.prev.year.prices, "Communications equipment"
Ipyp_Soft_DB, GFCF.prev.year.prices, "Computer software and databases"
Ipyp_TraEq, GFCF.prev.year.prices, "Transport Equipment"
Ipyp_OMach, GFCF.prev.year.prices, "Other Machinery and Equipment"
Ipyp_OCon, GFCF.prev.year.prices, "Total Non-residential investment"
Ipyp_RStruc, GFCF.prev.year.prices, "Residential structures"
Ipyp_Cult, GFCF.prev.year.prices, "Cultivated assets"
Ipyp_RD, GFCF.prev.year.prices, "Research and development"
Ipyp_OIPP, GFCF.prev.year.prices, "Other IPP assets"
Ipyp_GFCF, GFCF.prev.year.prices, "All assets"
Iq_IT, GFCF.volume.2010.ref.prices, "Computing equipment"
Iq_CT, GFCF.volume.2010.ref.prices, "Communications equipment"
Iq_Soft_DB, GFCF.volume.2010.ref.prices, "Computer software and databases"
Iq_TraEq, GFCF.volume.2010.ref.prices, "Transport Equipment"
Iq_OMach, GFCF.volume.2010.ref.prices, "Other Machinery and Equipment"
Iq_OCon, GFCF.volume.2010.ref.prices, "Total Non-residential investment"
Iq_RStruc, GFCF.volume.2010.ref.prices, "Residential structures"
Iq_Cult, GFCF.volume.2010.ref.prices, "Cultivated assets"
Iq_RD, GFCF.volume.2010.ref.prices, "Research and development"
Iq_OIPP, GFCF.volume.2010.ref.prices, "Other IPP assets"
Iq_GFCF, GFCF.volume.2010.ref.prices, "All assets"
Ip_IT, GFCF.price.indices.2010=100, "Computing equipment"
Ip_CT, GFCF.price.indices.2010=100, "Communications equipment"
Ip_Soft_DB, GFCF.price.indices.2010=100, "Computer software and databases"
Ip_TraEq, GFCF.price.indices.2010=100, "Transport Equipment"
Ip_OMach, GFCF.price.indices.2010=100, "Other Machinery and Equipment"
Ip_OCon, GFCF.price.indices.2010=100, "Total Non-residential investment"
Ip_RStruc, GFCF.price.indices.2010=100, "Residential structures"
Ip_Cult, GFCF.price.indices.2010=100, "Cultivated assets"
Ip_RD, GFCF.price.indices.2010=100, "Research and development"
Ip_OIPP, GFCF.price.indices.2010=100, "Other IPP assets"
Ip_GFCF, GFCF.price.indices.2010=100, "All assets"